resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,ConFit v2,CrossEncoder,0.1644,0.1765,3
CONSULTANT/80527194.pdf,80527194.pdf,CONSULTANT,ColBERT,CrossEncoder,0.3068,0.25,4
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,ConFit v2,ColBERT,0.373,0.25,4
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,ConFit v2,CrossEncoder,0.0989,0.1111,2
DESIGNER/15425154.pdf,15425154.pdf,DESIGNER,ColBERT,CrossEncoder,0.1599,0.25,4
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,ConFit v2,ColBERT,0.6532,0.4286,6
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,ConFit v2,CrossEncoder,0.1437,0.1111,2
DESIGNER/26496059.pdf,26496059.pdf,DESIGNER,ColBERT,CrossEncoder,0.1607,0.1765,3
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,ConFit v2,ColBERT,0.4745,0.4286,6
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,ConFit v2,CrossEncoder,0.2654,0.3333,5
DESIGNER/42384185.pdf,42384185.pdf,DESIGNER,ColBERT,CrossEncoder,0.2018,0.1765,3
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,ConFit v2,ColBERT,0.4356,0.4286,6
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,ConFit v2,CrossEncoder,0.2344,0.3333,5
DIGITAL-MEDIA/16276121.pdf,16276121.pdf,DIGITAL-MEDIA,ColBERT,CrossEncoder,0.3581,0.3333,5
DIGITAL-MEDIA/19053815.pdf,19053815.pdf,DIGITAL-MEDIA,ConFit v2,ColBERT,0.4356,0.4286,6
